"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Kolopaking's Paphiopedilum","Paphiopedilum kolopakingii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327899,2014-11-20,"CR","3.1","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4","0-50","1",4,10,10,10,4000,1,400,NA
"2","Liem's Paphiopedilum","Paphiopedilum liemianum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327909,2014-11-17,"CR","3.1","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i); D","A2acd+3cd+4acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4","0-50","1",4,10,10,10,4000,1,400,NA
"3","Primrose Yellow Paphiopedilum","Paphiopedilum primulinum","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327954,2014-04-05,"CR","3.1","A2acd+3cd+4acd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1+2a(i); D","A2acd+3cd+4acd; B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); C1+2a(i); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","8","8","49","1",4,10,10,10,4000,1,400,NA
"4","Sang's Paphiopedilum","Paphiopedilum sangii","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327979,2014-11-19,"CR","3.1","A2acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","A2acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"8","8","0-50","1",4,10,10,10,4000,1,400,NA
"5","Schoser's Paphiopedilum","Paphiopedilum schoseri","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43327984,2014-11-19,"CR","3.1","A2acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","A2acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4","0-50","1",4,10,10,10,4000,1,400,NA
"6","Virgin Mary Paphiopedilum","Paphiopedilum victoria-mariae","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43328019,2014-11-18,"CR","3.1","A2acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","A2acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4","0-50","1",4,10,10,10,4000,1,400,NA
"7","Queen Victoria Paphiopedilum","Paphiopedilum victoria-regina","TRACHEOPHYTA","LILIOPSIDA","ASPARAGALES","ORCHIDACEAE",43328024,2014-11-18,"CR","3.1","A2acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D","A2acd; B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i,ii); D",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,10,10,4000,1,400,NA
"8",NA,"Nepenthes rigidifolia","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","NEPENTHACEAE",49009927,2013-12-06,"CR","3.1","A2ad+3d; B1ab(iv,v)+2ab(iv,v); C2a(i,ii); D","A2ad+3d; B1ab(iv,v)+2ab(iv,v); C2a(i,ii); D",1,"Decreasing","Yes","No",NA,NA,NA,"Yes","Yes","0.01","0.01","10","1",4,10,10,10,4000,1,400,NA
"9","Javan Pied Starling","Gracupica jalla","CHORDATA","AVES","PASSERIFORMES","STURNIDAE",118590020,2016-10-01,"CR","3.1","A2bd+3bd+4bd; C2a(i,ii); D","A2bd+3bd+4bd; C2a(i,ii); D",1,"Decreasing","Yes","Unknown","Yes","Unknown","Unknown","Yes","No",NA,"12400","1-49","2-10",4,10,10,10,4000,1,400,NA
"10",NA,"Dipterocarpus cinereus","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",125628179,2019-10-24,"CR","3.1","A2cd+3cd; B1ab(i,ii,v); C2a(i,ii); D","A2cd+3cd; B1ab(i,ii,v); C2a(i,ii); D",1,"Decreasing","Yes",NA,NA,"Yes","Yes",NA,NA,"28","42.015","30","1",4,10,10,10,4000,1,400,NA
"11",NA,"Hopea bancana","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",125628426,2019-02-14,"CR","3.1","A2cd+3cd; B1ab(i,ii,v); C2a(i,ii); D","A2cd+3cd; B1ab(i,ii,v); C2a(i,ii); D",1,"Decreasing","Yes",NA,NA,"Yes","Yes",NA,NA,"16","16","9","1",4,10,10,10,4000,1,400,NA
"12",NA,"Vatica soepadmoi","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","DIPTEROCARPACEAE",125628953,2020-03-18,"CR","3.1","A2c; B1ab(i,ii,iii); D","A2c; B1ab(i,ii,iii); D",1,"Decreasing",NA,"Yes",NA,"Yes","Yes",NA,NA,"16","16","5-30","1",4,10,10,10,4000,1,400,NA
"13",NA,"Saurauia bogoriensis","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","ACTINIDIACEAE",164372711,2019-10-24,"CR","3.1","A2c; D","A2c; D",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","1",4,10,10,10,4000,1,400,NA
"14","Siau Island Tarsier","Tarsius tumpara","CHORDATA","MAMMALIA","PRIMATES","TARSIIDAE",17977202,2015-11-23,"CR","3.1","A2acd+4acd; B1ab(iii,v)","A2acd+4acd; B1ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,"156",NA,"1",4,10,10,9,3600,14,400,NA
"15",NA,"Nepenthes aristolochioides","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","NEPENTHACEAE",19630981,2013-06-10,"CR","3.1","A2a; B1ab(v); C2a(i)","A2a; B1ab(v); C2a(i)",1,"Decreasing","Yes","No","No","No","No","No","Yes","20.00","46.86","60","6",4,10,10,9,3600,14,400,NA
"16",NA,"Nepenthes clipeata","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","NEPENTHACEAE",19631488,2013-12-10,"CR","3.1","A2ad","A2ad",1,"Decreasing","No","No","No","No","No",NA,"Yes","12","12","100","1",4,10,10,9,3600,14,400,NA
"17",NA,"Nepenthes sumatrana","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","NEPENTHACEAE",21845285,2013-12-08,"CR","3.1","A3c; B1ab(i,ii,iii,v)","A3c; B1ab(i,ii,iii,v)",1,"Decreasing","Yes","Yes",NA,"Yes","Yes",NA,"No","56","56","5000","14",4,10,10,9,3600,14,400,NA
"18",NA,"Caridina spongicola","ARTHROPODA","MALACOSTRACA","DECAPODA","ATYIDAE",109685164,2018-02-19,"CR","3.1","A3cde; B1ab(iii,v)+2ab(iii,v)","A3cde; B1ab(iii,v)+2ab(iii,v)",1,"Decreasing",NA,NA,NA,NA,NA,NA,"Yes","8","8",NA,"1",4,10,10,9,3600,14,400,NA
"19",NA,"Tylomelania hannelorae","MOLLUSCA","GASTROPODA","SORBEOCONCHA","PACHYCHILIDAE",109686403,2018-07-03,"CR","3.1","A3e; B1ab(iii)+2ab(iii)","A3e; B1ab(iii)+2ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,10,9,3600,14,400,NA
"20",NA,"Tylomelania inconspicua","MOLLUSCA","GASTROPODA","SORBEOCONCHA","PACHYCHILIDAE",109686504,2018-07-10,"CR","3.1","A3e; B1ab(iii)","A3e; B1ab(iii)",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"16","13.8-16",NA,"1",4,10,10,9,3600,14,400,NA
"21",NA,"Sulawesidrobia perempuan","MOLLUSCA","GASTROPODA","LITTORINIMORPHA","TATEIDAE",109725473,2018-07-09,"CR","3.1","A3e; B1ab(iii)+2ab(iii)","A3e; B1ab(iii)+2ab(iii)",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,10,9,3600,14,400,NA
"22",NA,"Sulawesidrobia soedjatmokoi","MOLLUSCA","GASTROPODA","LITTORINIMORPHA","TATEIDAE",109725498,2018-07-09,"CR","3.1","A3e; B1ab(iii)+2ab(iii)","A3e; B1ab(iii)+2ab(iii)",1,"Decreasing",NA,NA,NA,NA,NA,NA,"Yes","4","4",NA,"1",4,10,10,9,3600,14,400,NA
"23",NA,"Sulawesidrobia bicolor","MOLLUSCA","GASTROPODA","LITTORINIMORPHA","TATEIDAE",109725522,2018-07-09,"CR","3.1","A3e; B1ab(iii)+2ab(iii)","A3e; B1ab(iii)+2ab(iii)",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"4","52",NA,"1",4,10,10,9,3600,14,400,NA
"24",NA,"Sulawesidrobia abreui","MOLLUSCA","GASTROPODA","LITTORINIMORPHA","TATEIDAE",109725541,2018-07-09,"CR","3.1","A3e; B1ab(iii)+2ab(iii)","A3e; B1ab(iii)+2ab(iii)",1,"Decreasing",NA,NA,NA,NA,NA,NA,NA,"4","4",NA,"1",4,10,10,9,3600,14,400,NA
"25",NA,"Sulawesidrobia megalodon","MOLLUSCA","GASTROPODA","LITTORINIMORPHA","TATEIDAE",109725558,2018-08-22,"CR","3.1","A3e; B2ab(iii,v)","A3e; B2ab(iii,v)",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","4",NA,NA,"1",4,10,10,9,3600,14,400,NA
