"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1",NA,"Delosperma macellum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",10850066,2003-04-30,"CR","3.1","A3cde+4cde; C2a(i); D","A3cde+4cde; C2a(i); D","Extant","Native",2,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,10,10,2000,1,200,NA
"2","Wolkberg Cycad","Encephalartos dolomiticus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",50905617,2020-05-06,"CR","3.1","A2acd+4ad; B2ab(i,ii,iv,v); C1+2a(i); D","A2acd+4ad; B2ab(i,ii,iv,v); C1+2a(i); D","Extant","Native",2,"Decreasing","Yes",NA,"Yes","Yes","Yes","Yes","Yes","0-16",NA,"0-4","1",4,5,10,10,2000,1,200,NA
"3","Lydenburg Cycad","Encephalartos inopinus","TRACHEOPHYTA","CYCADOPSIDA","CYCADALES","ZAMIACEAE",51057232,2020-05-07,"CR","3.1","A2ad+4ad; B1ab(v)+2ab(v); C2a(i,ii); D","A2ad+4ad; B1ab(v)+2ab(v); C2a(i,ii); D","Extant","Native",2,"Decreasing","Yes",NA,NA,NA,NA,NA,"Yes","4","4","1","1",4,5,10,10,2000,1,200,NA
"4",NA,"Conophytum crateriforme","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202851236,2021-11-19,"CR","3.1","A4d; B1ab(iii,v); D","A4d; B1ab(iii,v); D","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","12","12","23","1",4,5,10,10,2000,1,200,NA
"5","Franschhoek Silkypuff","Diastella buekii","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",185540461,2019-08-06,"CR","3.1","A4a; B1ab(i,ii,iii,iv,v)","A4a; B1ab(i,ii,iii,iv,v)","Extant","Native",2,"Decreasing","Yes","Yes",NA,"Yes","Yes","Yes","Yes","28","34","350-950","3-4",4,5,10,9,1800,5,200,NA
"6","Blushing Bride","Serruria florida","TRACHEOPHYTA","MAGNOLIOPSIDA","PROTEALES","PROTEACEAE",185558612,2020-06-17,"CR","3.1","A3c; B1ab(iii,v)","A3c; B1ab(iii,v)","Extant","Native",2,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes","24","24","3000-5000","1",4,5,10,9,1800,5,200,NA
"7",NA,"Conophytum phoeniceum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202849782,2021-12-01,"CR","3.1","A3d","A3d","Extant","Native",2,"Unknown",NA,"No",NA,NA,NA,NA,"Yes","12","12","250-500","1",4,5,10,9,1800,5,200,NA
"8",NA,"Conophytum ratum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202849793,2021-12-02,"CR","3.1","A4d; B1ab(iii,iv,v)","A4d; B1ab(iii,iv,v)","Extant","Native",2,"Decreasing","Yes","Yes","Yes",NA,NA,NA,"Yes","36","74","750-1200","1-3",4,5,10,9,1800,5,200,NA
"9",NA,"Conophytum regale","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202849819,2021-12-07,"CR","3.1","A4d; B1ab(v)+2ab(v); C1+2a(ii)","A4d; B1ab(v)+2ab(v); C1+2a(ii)","Extant","Native",2,"Decreasing","Yes","No",NA,NA,NA,NA,"Yes","8","8","100-150","1",4,5,10,9,1800,5,200,NA
"10",NA,"Conophytum subterraneum","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AIZOACEAE",202849908,2021-12-09,"CR","3.1","A3d; B1ab(iii)+2ab(iii)","A3d; B1ab(iii)+2ab(iii)","Extant","Native",2,"Unknown","Unknown","Yes",NA,NA,NA,NA,"Yes","4","4","2000-2500","1",4,5,10,9,1800,5,200,NA
