"","CommonName_English","ScientificName","Phylum","Class","Order","Family","assessment_id","assessment_date","red_list_category_code","red_list_category_version","criteria_Listed","criteria_V3.1","focalCountryPresence","focalCountryOrigin","NumberOfCountriesExtant","PopulationTrend","ContDec_Population","ContDec_Area","ContDec_Location","ContDec_EOO","ContDec_AOO","ContDec_Subpopulation","AreaRestricted","AOO","EOO","PopulationSize","LocationNumber","Risk","Endemic","Decline","Restriction","Priority1_PS","Priority1_Rank","Priority2_PS","Priority2_Rank"
"1","Ovalau Hibiscus","Hibiscus bragliae","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",168544272,2020-02-24,"CR","3.1","C1","C1","Extant","Native",1,"Decreasing","Yes","Yes",NA,"Unknown","Unknown",NA,NA,"12","12","249",NA,4,10,8,9,2880,1,360,NA
"2","Drautabua","Acmopyle sahniana","TRACHEOPHYTA","PINOPSIDA","PINALES","PODOCARPACEAE",99514723,2022-03-28,"CR","3.1","C1","C1","Extant","Native",1,"Decreasing","Yes","Yes","Yes","Yes","Yes","Yes","No","20","1736","150-249","4",4,10,8,8,2560,2,320,NA
"3","Yanita ","Pterocymbium oceanicum","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",99752113,2016-07-26,"CR","3.1","A2cd","A2cd","Extant","Native",1,"Decreasing","Yes",NA,NA,NA,NA,"Yes",NA,"20","2346","249","3",4,10,5,8,1600,3,320,NA
"4",NA,"Cyphosperma naboutinense","TRACHEOPHYTA","LILIOPSIDA","ARECALES","ARECACEAE",99550660,2017-05-03,"CR","3.1","B1ab(iii); D","B1ab(iii); D","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,NA,"4-100","45-55","1",4,10,2,10,800,4,400,NA
"5",NA,"Guettarda wayaensis","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE",99550760,2016-07-27,"CR","3.1","D","D","Extant","Native",1,"Decreasing",NA,"Yes",NA,NA,NA,NA,NA,"12","2359","49","3",4,10,2,10,800,4,400,NA
"6",NA,"Hibiscus storckii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",99550795,2018-01-18,"CR","3.1","B1ab(iii); D","B1ab(iii); D","Possibly Extinct","Native",1,"Decreasing","Unknown","Yes",NA,NA,NA,NA,"Yes","12","12","0-49","1",4,10,2,10,800,4,400,NA
"7","Fiji Petrel","Pseudobulweria macgillivrayi","CHORDATA","AVES","PROCELLARIIFORMES","PROCELLARIIDAE",132613365,2018-08-07,"CR","3.1","C2a(i,ii);D","C2a(i,ii);D","Extant","Native",1,"Decreasing","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","27","165000","1-49","1",4,10,2,10,800,4,400,NA
"8","Mt Delaikoro Hibiscus","Hibiscus bennettii","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE",168544282,2020-02-24,"CR","3.1","B1ab(iii,v)+2ab(iii,v); C2a(i,ii); D","B1ab(iii,v)+2ab(iii,v); C2a(i,ii); D","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,NA,"4","4","4","1",4,10,2,10,800,4,400,NA
"9",NA,"Balaka streptostachys","TRACHEOPHYTA","LILIOPSIDA","ARECALES","ARECACEAE",1494216,2017-05-03,"CR","3.1","C2a(i,ii)","C2a(i,ii)","Extant","Native",1,"Decreasing","Yes","Yes",NA,NA,NA,NA,"Yes",NA,NA,"50-60",NA,4,10,2,9,720,9,360,NA
"10","Rotuma Tree Snail","Partula leefei","MOLLUSCA","GASTROPODA","STYLOMMATOPHORA","PARTULIDAE",1498392,2017-01-06,"CR","3.1","B1ab(v)+2ab(v)","B1ab(v)+2ab(v)","Extant","Native",1,"Decreasing","Yes",NA,NA,"Unknown","Unknown",NA,"Yes","4","4",NA,"1",4,10,2,9,720,9,360,NA
